id,ip_address,activity_timestamp,activity_date,app_name,domain_name,url,top_level_domain,user_agent
1,71.118.234.249,1617854049000,09/30/2020,maint,rental.com,https://rental.com/maint.aspx,com,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2309.372 Safari/537.36"
2,61.26.159.44,1605514166000,03/21/2021,maint,rental.com,https://rental.com/maint.aspx,com,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-US) AppleWebKit/534.20 (KHTML, like Gecko) Chrome/11.0.672.2 Safari/534.20"
3,118.64.73.9,1614325734000,07/18/2020,maint,rental.com,https://rental.com/maint.aspx,com,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.67 Safari/537.36"
4,108.94.136.36,1604651393000,08/26/2020,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/526.3 (KHTML, like Gecko) Chrome/14.0.564.21 Safari/526.3"
5,242.137.220.8,1619379462000,11/17/2020,payment,rental.com,https://rental.com/payment.aspx,com,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.1 Safari/535.1"
6,83.86.103.208,1607752202000,10/27/2020,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.1 Safari/535.1"
7,214.224.124.35,1617482873000,06/24/2021,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_4; en-gb) AppleWebKit/528.4+ (KHTML, like Gecko) Version/4.0dp1 Safari/526.11.2"
8,48.157.165.145,1614507755000,09/07/2020,profile,rental.com,https://rental.com/profile.aspx,com,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.9 Safari/536.5"
9,219.29.233.229,1597455805000,10/17/2020,maint,rental.com,https://rental.com/maint.aspx,com,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11"
10,111.62.12.126,1598719850000,09/26/2020,search,rental.com,https://rental.com/search.aspx,com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.803.0 Safari/535.1"
